organ,seq_id,target_name,target_full_name,gene_symbol,entrez_gene_id,hgnc_id,selected_models,model_count,mean_nonzero_coefficient,coefficient_direction,model_family,source_commit
Immune,2649-77,sICAM-3,Intercellular adhesion molecule 3,ICAM3,3385,HGNC:5346,113,500,-0.13272612109590315,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Muscle,17832-12,IDI2,Isopentenyl-diphosphate delta-isomerase 2,IDI2,91734,HGNC:23487,120,500,0.15065803416588516,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,3198-4,IDS,Iduronate 2-sulfatase,IDS,3423,HGNC:5389,140,500,0.19547978687933196,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,15404-3,IFN21,Interferon alpha-21,IFNA21,3452,HGNC:5424,167,500,0.08032819699329508,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Kidney,14129-1,IFNA7,Interferon alpha-7,IFNA7,3444,HGNC:5428,93,500,0.10718012101627093,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,6214-84,IFNA8,Interferon alpha-8,IFNA8,3445,HGNC:5429,250,500,0.16069778087892544,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,12358-6,IGBP1,Immunoglobulin-binding protein 1,IGBP1,3476,HGNC:5461,2,500,-0.03237736211972236,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,6605-17,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,3483,HGNC:5468,500,500,-1.3311736683945168,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,2771-35,IGFBP-1,Insulin-like growth factor-binding protein 1,IGFBP1,3484,HGNC:5469,147,500,0.17731854100613872,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,4916-2,IgD,Immunoglobulin D,IGHD,,HGNC:5480,500,500,-0.6396260550804029,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,4135-84,IgE,Immunoglobulin E,IGHE,,HGNC:5522,112,500,-0.11939576432650159,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,13230-174,"IgG2, Kappa","Ig gamma-2, Kappa",IGHG2,,HGNC:5526,123,500,-0.13222220430844372,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,13231-90,"IgG4, Kappa","Ig gamma-4, Kappa",IGHG4,,HGNC:5528,250,500,0.16983993413161283,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,3069-52,IgM,Immunoglobulin M,IGHM,,HGNC:5541,272,500,-0.19734092899979827,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,6485-59,IGLL1,Immunoglobulin lambda-like polypeptide 1,IGLL1,3543,HGNC:5870,500,500,-1.1508450422852696,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,6478-2,IGLO5,IgLON family member 5,IGLON5,402665,HGNC:34550,500,500,1.9797285006652636,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,2992-59,IL-17 sR,Interleukin-17 receptor A,IL17RA,23765,HGNC:5985,73,500,-0.1284160368752986,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,2993-1,IL-18 Rb,Interleukin-18 receptor accessory protein,IL18RAP,8807,HGNC:5989,110,500,-0.10650213082275124,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
